Taxon,Male_ID,Dive_number_,dive_length,dive_start_relative_to_t=0,dive_end_relative_to_t=0,Max_velocity,max_Vel_Time_relative_to_t=0,Mean_Max_X_vel,maxVel_x_time_relative_to_t=0,Mean_Max_Y_vel,maxVel_y_time_relative_to_t=0,relative_time_closest_to_female,Closest_Dist_to_female_(m),MaxDoppler,MaxDopplerTime(z=0),MinDoppler,MinDopplerTime(z=0),Dopp=1,Dopp=1Time,W1Start_Relative_to_z=0,W1End_Relative_to_z=0,W1LowFreq,W1HighFreq,Gap_between_W1_and_W2_,W2Start_Relative_to_z=0,W2End_Relative_to_z=0,W2LowFreq,W2HighFreq,YStart_Relative_to_z=0,YEnd_Relative_to_z=0,YNumber_of_elements,YLowFreq,YHighFreq,XStart_Relative_to_z=0,XEnd_Relative_to_z=0,XNumber_of_elements,XLowFreq,XHighFreq
bchu,WTM2,1,2.4166,-1.15,1.2666,10.86636782,-0.266666667,5.135541354,-0.516666667,10.03061819,-0.058333333,-0.15,1.1488,1.02533953,-0.4,0.97787966,0.108333333,1.000284035,-0.158333333,-0.985,-0.6291,4681.967,5665.574,0.0306,-0.5944,-0.3859,4563.934,5626.23,-0.347,0.1242,8,1809.836,2242.623,-0.3817,0.0867,7,4367.213,5429.508
bchu,WTM2,2,1.98,-0.933333333,1.046666667,13.7897781,-0.175,11.57625486,0.066666667,9.680194057,-0.233333333,-0.141666667,1.355,1.037182272,-0.266666667,0.962589354,0.058333333,0.99783064,-0.141666667,-0.801033333,-0.528633333,4563.934,5704.918,0.0445,-0.474333333,-0.292333333,4563.934,5350.82,-0.307633333,0.076066667,7,1809.836,2360.656,-0.290233333,-0.031033333,4,4406.557,5429.508
bchu,WTM3,1,2.967,-1.275333333,1.691666667,16.0351825,-0.5,14.92442765,0.058333333,7.04739185,-1.266666667,-0.25,0.8128,1.049866899,-0.55,0.954219641,0.05,0.996430729,-0.25,-1.009633333,-0.773633333,4533.795,5573.657,0.0918,-0.668733333,-0.427333333,4741.768,5698.44,-0.367233333,0.325466667,10,1830.156,2412.478,-0.403233333,0.283866667,10,4325.823,5864.818
bchu,WTM3,2,2.89166,-1.166666667,1.724993333,17.64007067,0.158333333,16.28806022,0.158333333,6.091163701,0.158333333,-0.133333333,1.191,1.031259425,-0.233333333,0.93997435,0.408333333,0.998239493,-0.133333333,-1.421566667,-1.177966667,4367.418,5615.251,0.2425,-0.920166667,-0.572166667,4700.173,5823.224,-0.406666667,0.204033333,10,1996.534,2495.667,-0.569966667,0.402333333,10,4575.39,5823.224
bchu,WTM3,3,2.982,-1.431666667,1.550333333,18.87740629,-0.275,11.53866347,-0.266666667,14.9743983,-0.1,0.116666667,1.0605,1.067235902,-0.25,0.957178324,0.366666667,1.001742658,0.108333333,-0.986366667,-0.707766667,4450.607,5823.224,0.2054,-0.495866667,-0.187766667,4700.173,5948.007,0.011033333,0.668733333,9,1830.156,2412.478,-0.165966667,0.535433333,10,4616.984,5906.412
bchu,WTM3,4,2.83,-1.621666667,1.208333333,17.04492964,0.333333333,3.221737482,0.333333333,15.9520532,0.333333333,0.033333333,2.2851,1.0331574,-0.266666667,0.957771211,0.325,0.999068813,0.033333333,-1.301066667,-0.968966667,4409.012,5656.846,0.26,-0.705666667,-0.314566667,4575.39,5989.601,-0.388866667,0.424033333,12,1954.939,2370.884,-0.301466667,0.469833333,11,4616.984,5864.818
bchu,WTM4,1,2.525,-1.234,1.291,19.52181929,-0.625,5.564937497,-0.625,15.41677843,-0.625,-0.066666667,0.6678,1.031259425,-0.625,0.93997435,0.016666667,0.998239493,-0.525,-1.115,-0.7816,4870.704,6088.38,0.1389,-0.6427,-0.4395,5027.823,5970.54,-0.0436,0.2643,5,1935.484,2408.602,-0.4384,0.3199,11,4860.215,6064.516
bchu,WTM4,2,2.708333,-1.441666667,1.266666333,16.21083589,-0.208333333,12.06636876,-0.191666667,9.963072024,0,-0.175,0.7717,1.043957643,-0.325,0.957966094,0.1,1.001949583,-0.183333333,-0.819166667,-0.579566667,4909.984,5813.421,0.0787,-0.492166667,-0.251366667,5204.301,6236.559,-0.193466667,0.239433333,7,2064.516,2537.634,-0.232866667,0.163033333,6,4817.204,6150.538
bchu,WTM4,3,2.6958,-1.391666667,1.304133333,16.03366983,-0.3,12.19286066,-0.108333333,12.36743511,0.191666667,-0.083333333,1.7659,1.041896769,-0.475,0.958389649,0.183333333,1.000043124,-0.091666667,-0.951666667,-0.723666667,4755.1,6011.2,0.155,-0.568666667,-0.417666667,5069.2,6190.7,-0.243666667,0.169333333,5,1659.8,2422.4,-0.266666667,0.146333333,6,4530.8,5876.6
rthu,CF06K02,1,1.48336,-0.775033333,0.708326667,8.977896132,-0.183333333,7.656777737,-0.1,1.536556118,0.041666667,-0.15,0.6978,1.026050819,-0.133333333,0.981260131,0.083333333,0.999012488,0,NA,NA,NA,NA,NA,0.194466667,0.397766667,5891.98,10507.365,-0.094533333,0.094866667,4,753.927,1130.89,NA,NA,NA,NA,NA
rthu,CF06K02,2,1.441666,-0.691666667,0.749999333,9.314588711,-0.091666667,9.168665598,-0.066666667,1.347515194,-0.325,0,0.3514,1.026314503,-0.2,0.979073974,-0.008333333,1.002174498,-0.091666667,NA,NA,NA,NA,NA,0.272333333,0.499033333,6031.414,11308.901,0.010033333,0.218933333,5,712.042,1172.775,NA,NA,NA,NA,NA
rthu,CF06K02,3,1.474967,-0.675000333,0.799966667,9.509273594,-0.141666667,8.496102674,-0.1,2.900299729,-0.033333333,-0.083333333,0.3428,1.025427222,-0.208333333,0.982151733,0.066666667,0.998223408,-0.025,NA,NA,NA,NA,NA,0.269766667,0.522366667,5570.681,10931.937,-0.065433333,0.166066667,5,795.812,1214.66,NA,NA,NA,NA,NA
