ind,angle,names,u,s,m,l,u.r,s.r,m.r,l.r,x,y,z,h.theta,h.phi,r.vec,r.max,r.achieved,lum
DF10K01,20,DF10K01 20,0.294891442,0.225404578,0.23358452,0.24611946,0.044891442,-0.024595422,-0.01641548,-0.00388054,0.012685222,-0.001539725,0.044891442,-0.120788518,1.293481383,0.046674696,0.474424636,0.098381686,0.017234292
DF10K01,40,DF10K01 40,0.293104502,0.22197227,0.237787863,0.247135364,0.043104502,-0.02802773,-0.012212137,-0.002864636,0.015409185,0.002286816,0.043104502,0.147330683,1.224002284,0.045833074,0.408818998,0.112110919,0.043110306
DF10K01,60,DF10K01 60,0.292733027,0.218309574,0.241453602,0.247503796,0.042733027,-0.031690426,-0.008546398,-0.002496204,0.017877737,0.006043583,0.042733027,0.325990251,1.154935591,0.046714559,0.368522651,0.126761703,0.029160097
DF10K01,80,DF10K01 80,0.264214705,0.232777967,0.254933861,0.248073466,0.014214705,-0.017222033,0.004933861,-0.001926534,0.009366542,0.010258807,0.014214705,0.830831798,0.796895197,0.019875439,0.288517614,0.068888131,0.005593061
DF09K03,-80,DF09K03 -80,0.278866942,0.226810923,0.241213181,0.253108954,0.028866942,-0.023189077,-0.008786819,0.003108954,0.016104189,0.000886177,0.028866942,0.054972271,1.061282567,0.033067062,0.356493939,0.092756309,0.051563734
DF09K03,-60,DF09K03 -60,0.274377986,0.220291584,0.244222704,0.261107726,0.024377986,-0.029708416,-0.005777296,0.011107726,0.02499468,0.002491172,0.024377986,0.09934002,0.770437959,0.035003231,0.294556522,0.118833664,0.048904131
DF09K03,-40,DF09K03 -40,0.256049633,0.20619669,0.247663617,0.290090061,0.006049633,-0.04380331,-0.002336383,0.040090061,0.051373988,-0.000339241,0.006049633,-0.006603261,0.117214378,0.051730067,0.295240625,0.175213241,0.024985546
DF09K03,-20,DF09K03 -20,0.186845121,0.132774206,0.212638283,0.46774239,-0.063154879,-0.117225794,-0.037361717,0.21774239,0.205125283,-0.061956706,-0.063154879,-0.293330277,-0.286618191,0.223391033,0.476411857,0.468903177,0.053454624
DF09K03,0,DF09K03 0,0.125820834,0.071154486,0.112589743,0.690434937,-0.124179166,-0.178845514,-0.137410257,0.440434937,0.379230278,-0.189649552,-0.124179166,-0.463720203,-0.284902789,0.44181786,0.617597069,0.715382055,0.24402474
DF09K03,20,DF09K03 20,0.306649597,0.212605244,0.23102155,0.249723608,0.056649597,-0.037394756,-0.01897845,-0.000276392,0.022730263,-0.000101028,0.056649597,-0.004444631,1.189215308,0.061039757,0.408076983,0.149579025,0.022912104
DF09K03,40,DF09K03 40,0.30273281,0.221848903,0.23399571,0.241422577,0.05273281,-0.028151097,-0.01600429,-0.008577423,0.011986378,0.001668751,0.05273281,0.138331461,1.345206412,0.054103671,0.48047569,0.112604389,0.021749355
DF09K03,60,DF09K03 60,0.230290271,0.18514701,0.282113555,0.302449164,-0.019709729,-0.06485299,0.032113555,0.052449164,0.071832605,0.027093128,-0.019709729,0.360672068,-0.251302916,0.079261808,0.305544156,0.259411958,0.05065884
DF09K03,80,DF09K03 80,0.240826834,0.207685456,0.284497408,0.266990301,-0.009173166,-0.042314544,0.034497408,0.016990301,0.036316652,0.033346823,-0.009173166,0.742792877,-0.183948964,0.050150342,0.296294949,0.169258174,0.016916547
DF09K02,-80,DF09K02 -80,0.289745041,0.221816917,0.23713543,0.251302611,0.039745041,-0.028183083,-0.01286457,0.001302611,0.018056226,0.000407057,0.039745041,0.022540058,1.144275475,0.043656171,0.387255113,0.112732331,0.050859903
DF09K02,-60,DF09K02 -60,0.276495685,0.218901002,0.243031456,0.261571857,0.026495685,-0.031098998,-0.006968544,0.011571857,0.026130455,0.001976382,0.026495685,0.075491451,0.790912147,0.037265642,0.299572696,0.12439599,0.074929409
DF09K02,-40,DF09K02 -40,0.256905918,0.21637633,0.249855076,0.276862677,0.006905918,-0.03362367,-0.000144924,0.026862677,0.037040171,0.002287895,0.006905918,0.061689567,0.183984864,0.037747854,0.280664289,0.13449468,0.033742345
DF09K02,-20,DF09K02 -20,0.216820232,0.158017636,0.242786973,0.382375159,-0.033179768,-0.091982364,-0.007213027,0.132375159,0.137390363,-0.01938139,-0.033179768,-0.140143301,-0.234724377,0.142662704,0.38774472,0.367929457,0.080482647
DF09K02,0,DF09K02 0,0.102681481,0.05621923,0.154731214,0.686368075,-0.147318519,-0.19378077,-0.095268786,0.436368075,0.385885784,-0.153132769,-0.147318519,-0.37777447,-0.340987141,0.440522677,0.568326099,0.775123082,0.355663655
DF09K02,20,DF09K02 20,0.290211421,0.216272822,0.236253124,0.257262633,0.040211421,-0.033727178,-0.013746876,0.007262633,0.02510103,-0.00036388,0.040211421,-0.014495583,1.012706309,0.04740414,0.351379385,0.134908712,0.036585193
DF09K02,40,DF09K02 40,0.309735302,0.219705471,0.231256838,0.239302389,0.059735302,-0.030294529,-0.018743162,-0.010697611,0.012000612,0.001239493,0.059735302,0.10292089,1.371511845,0.060941425,0.502907846,0.121178116,0.034411797
DF09K02,60,DF09K02 60,0.246864661,0.195938266,0.269393018,0.287804055,-0.003135339,-0.054061734,0.019393018,0.037804055,0.056256077,0.019460892,-0.003135339,0.333048002,-0.052622187,0.059609587,0.275655176,0.216246936,0.062118736
DF09K02,80,DF09K02 80,0.292025123,0.212704718,0.244764524,0.250505635,0.042025123,-0.037295282,-0.005235476,0.000505635,0.02314824,0.009305064,0.042025123,0.382209678,1.035054859,0.048872653,0.327606133,0.14918113,0.032591099
AE18K03,-80,AE18K03 -80,0.202971002,0.306074663,0.271841046,0.219113289,-0.047028998,0.056074663,0.021841046,-0.030886711,-0.053252749,0.006538666,-0.047028998,3.019418669,-0.71970453,0.071346591,0.379269144,0.188115991,0.007408264
AE18K03,-60,AE18K03 -60,0.286087907,0.251618711,0.227290819,0.235002563,0.036087907,0.001618711,-0.022709181,-0.014997437,-0.010175271,-0.011327722,0.036087907,-2.302650789,1.171525038,0.039168744,0.431199427,0.090836724,0.244064167
AE18K03,-40,AE18K03 -40,0.302252601,0.250905724,0.220391408,0.226450267,0.052252601,0.000905724,-0.029608592,-0.023549733,-0.014975848,-0.01293057,0.052252601,-2.429354283,1.208824545,0.055873159,0.471764751,0.118434367,0.261434128
AE18K03,-20,AE18K03 -20,0.227966499,0.195221438,0.219559773,0.35725229,-0.022033501,-0.054778562,-0.030440227,0.10725229,0.099223227,-0.040076756,-0.022033501,-0.383868198,-0.203061224,0.109255986,0.498625658,0.219114247,0.440459285
AE18K03,0,AE18K03 0,0.150163634,0.102466003,0.143437991,0.603932372,-0.099836366,-0.147533997,-0.106562009,0.353932372,0.307084182,-0.148323565,-0.099836366,-0.44996038,-0.284792795,0.355341912,0.602135641,0.59013599,0.552415363
AE18K03,20,AE18K03 20,0.281142457,0.238944986,0.229581547,0.250331009,0.031142457,-0.011055014,-0.020418453,0.000331009,0.006972487,-0.010646518,0.031142457,-0.990978775,1.182851527,0.033642481,0.411912721,0.08167381,0.217629726
AE18K03,40,AE18K03 40,0.294896571,0.242512995,0.22453329,0.238057143,0.044896571,-0.007487005,-0.02546671,-0.011942857,-0.002728641,-0.01113819,0.044896571,-1.811045338,1.320721572,0.046337964,0.454887619,0.101866838,0.341437993
AE18K03,60,AE18K03 60,0.274153025,0.239612121,0.241448003,0.24478685,0.024153025,-0.010387879,-0.008551997,-0.00521315,0.003168862,-0.000531378,0.024153025,-0.166141726,1.43854168,0.02436581,0.586400018,0.041551516,0.366880437
AE18K03,80,AE18K03 80,0.158437145,0.366727976,0.291418836,0.183416043,-0.091562855,0.116727976,0.041418836,-0.066583957,-0.112255175,0.011558952,-0.091562855,3.038983956,-0.681639735,0.145322366,0.396783079,0.366251419,0.006995201
AE18K04,-80,AE18K04 -80,0.196799158,0.32728216,0.263345951,0.212572731,-0.053200842,0.07728216,0.013345951,-0.037427269,-0.070244893,-0.004653819,-0.053200842,-3.07543798,-0.647142801,0.088240198,0.414656021,0.212803369,0.011990918
AE18K04,-60,AE18K04 -60,0.269110299,0.24864853,0.236189096,0.246052075,0.019110299,-0.00135147,-0.013810904,-0.003947925,-0.001589997,-0.007892164,0.019110299,-1.769600455,1.172083018,0.020736872,0.37537139,0.055243615,0.143147524
AE18K04,-40,AE18K04 -40,0.260913875,0.219439373,0.251686833,0.267959918,0.010913875,-0.030560627,0.001686833,0.017959918,0.029712644,0.005647794,0.010913875,0.187839646,0.346310599,0.032153561,0.263030936,0.122242507,0.183446356
AE18K04,-20,AE18K04 -20,0.181100325,0.145388216,0.252608435,0.420903024,-0.068899675,-0.104611784,0.002608435,0.170903024,0.168717674,-0.02159305,-0.068899675,-0.127291344,-0.384868223,0.183518606,0.438570586,0.418447136,0.209373257
AE18K04,0,AE18K04 0,0.096690302,0.059028206,0.176726119,0.667555374,-0.153309698,-0.190971794,-0.073273881,0.417555374,0.372645264,-0.131921851,-0.153309698,-0.340246782,-0.36996604,0.423994966,0.555049199,0.763887178,0.485986029
AE18K04,20,AE18K04 20,0.252683774,0.251617854,0.241004381,0.254693992,0.002683774,0.001617854,-0.008995619,0.004693992,0.001883742,-0.008592438,0.002683774,-1.354978145,0.296124975,0.009196799,0.255591049,0.035982477,0.060331727
AE18K04,40,AE18K04 40,0.270637375,0.235331412,0.24097493,0.253056283,0.020637375,-0.014668588,-0.00902507,0.003056283,0.010854222,-0.002276118,0.020637375,-0.206703772,1.077686564,0.023428532,0.399297669,0.058674352,0.154370127
AE18K04,60,AE18K04 60,0.228674525,0.226241157,0.272289628,0.272794691,-0.021325475,-0.023758843,0.022289628,0.022794691,0.028508101,0.016102026,-0.021325475,0.514152229,-0.577312629,0.039073814,0.411150213,0.095035374,0.131328028
AE18K04,80,AE18K04 80,0.156027111,0.374062645,0.283763798,0.186146445,-0.093972889,0.124062645,0.033763798,-0.063853555,-0.115074701,0.002587483,-0.093972889,3.119111198,-0.684672495,0.148592684,0.395307322,0.375891554,0.007359839
AE18K11,-80,AE18K11 -80,0.16224153,0.334392322,0.294283214,0.209082933,-0.08775847,0.084392322,0.044283214,-0.040917067,-0.076736016,0.015942137,-0.08775847,2.936753527,-0.841822674,0.117661025,0.335184243,0.35103388,0.005391172
